cell,truth,T,sigma,rep,module,rmse_h1,rmse_h5,persist_h1,persist_h5,retained
D6_timevarying_r,,33,11.8,3,M1_autonomous_Schaefer,12.54901219008549,12.745917521905513,17.617362687387097,19.068414131221875,True
D6_timevarying_r,,33,11.8,3,M1b_autonomous_Allee,16.643772684891317,21.43197468211151,17.617362687387097,19.068414131221875,False
D6_timevarying_r,,33,11.8,3,M2_stockflow_regimeC,77.30443218788389,209.55511220086711,17.617362687387097,19.068414131221875,False
D6_timevarying_r,,33,11.8,3,M3_AR_residual,31.88885997491653,143.01140525870494,17.617362687387097,19.068414131221875,False
D6_timevarying_r,,33,11.8,3,M4_delayed_info,43.96660922927426,159.82842396237703,17.617362687387097,19.068414131221875,False
D6_timevarying_r,,33,11.8,4,M1_autonomous_Schaefer,14.73324513046606,14.459451658329343,14.727266403436724,17.730863454001504,False
D6_timevarying_r,,33,11.8,4,M1b_autonomous_Allee,11.773464805127885,14.404324951612317,14.727266403436724,17.730863454001504,False
D6_timevarying_r,,33,11.8,4,M2_stockflow_regimeC,77.47614297348147,544.9147436123651,14.727266403436724,17.730863454001504,False
D6_timevarying_r,,33,11.8,4,M3_AR_residual,36.620038325492324,351.4211189772025,14.727266403436724,17.730863454001504,False
D6_timevarying_r,,33,11.8,4,M4_delayed_info,64.31530555179847,439.4687342641659,14.727266403436724,17.730863454001504,False
D6_timevarying_r,,33,11.8,5,M1_autonomous_Schaefer,13.138707013049066,11.32610751462651,13.648621290431104,14.047952091823879,False
D6_timevarying_r,,33,11.8,5,M1b_autonomous_Allee,13.80482529752249,22.487078609088606,13.648621290431104,14.047952091823879,False
D6_timevarying_r,,33,11.8,5,M2_stockflow_regimeC,79.05181186623807,74.06380813539062,13.648621290431104,14.047952091823879,False
D6_timevarying_r,,33,11.8,5,M3_AR_residual,22.917840394281253,47.87238440739046,13.648621290431104,14.047952091823879,False
D6_timevarying_r,,33,11.8,5,M4_delayed_info,24.10943609955916,49.58717632902599,13.648621290431104,14.047952091823879,False
D6_timevarying_r,,33,11.8,6,M1_autonomous_Schaefer,15.793809874764301,15.564403253884944,20.072432883654418,17.439862625529514,True
D6_timevarying_r,,33,11.8,6,M1b_autonomous_Allee,17.738961101559287,19.254361377788484,20.072432883654418,17.439862625529514,False
D6_timevarying_r,,33,11.8,6,M2_stockflow_regimeC,69.98243252746809,81.57061413459103,20.072432883654418,17.439862625529514,False
D6_timevarying_r,,33,11.8,6,M3_AR_residual,29.747556307315357,68.87010223497913,20.072432883654418,17.439862625529514,False
D6_timevarying_r,,33,11.8,6,M4_delayed_info,35.83601768260533,70.94381058556323,20.072432883654418,17.439862625529514,False
D6_timevarying_r,,33,11.8,7,M1_autonomous_Schaefer,11.117014130127105,11.007738525652723,15.100598383821621,14.71251119760867,True
D6_timevarying_r,,33,11.8,7,M1b_autonomous_Allee,12.795764818226841,20.02578132780442,15.100598383821621,14.71251119760867,False
D6_timevarying_r,,33,11.8,7,M2_stockflow_regimeC,76.67817573035227,103.08064935147712,15.100598383821621,14.71251119760867,False
D6_timevarying_r,,33,11.8,7,M3_AR_residual,29.65521828090683,83.19567759692444,15.100598383821621,14.71251119760867,False
D6_timevarying_r,,33,11.8,7,M4_delayed_info,39.264439639479086,86.18229980890555,15.100598383821621,14.71251119760867,False
D6_timevarying_r,,33,11.8,8,M1_autonomous_Schaefer,12.610073307337261,13.309260454507795,15.605021960164471,15.554160732744888,True
D6_timevarying_r,,33,11.8,8,M1b_autonomous_Allee,12.354941107541645,14.447971608491223,15.605021960164471,15.554160732744888,False
